,ID,gene_assignment,logFC,AveExpr,t,P.Value,adj.P.Val,B
1952,7988031, RPS3A ,0.074961349,2.965044225,1.364834901,0.180395776,0.999925768,-4.789682595
1953,7970162, ATP11A ,-0.050198427,2.201948399,-1.364724481,0.180430199,0.999925768,-4.789809146
1954,8169443, RNU1-57P ,-0.044444173,2.563608745,-1.364622027,0.180462143,0.999925768,-4.789926558
1955,8051197, CCDC121 ,-0.066147403,2.393663154,-1.364609585,0.180466023,0.999925768,-4.789940816
1956,7894651,,0.125726202,2.784674446,1.364607757,0.180466593,0.999925768,-4.789942911
1957,8051024, PRR30 ,0.041200605,2.402781523,1.364182028,0.18059938,0.999925768,-4.79043071
1958,7893699,,-0.204690652,2.233424014,-1.364164955,0.180604706,0.999925768,-4.790450269
1959,7900999, C1orf228 ,-0.038832119,2.310949525,-1.363830788,0.18070899,0.999925768,-4.790833057
1960,8012518,,-0.080657819,2.070602045,-1.362905195,0.180998083,0.999925768,-4.791892886
1961,8170955, IKBKG ,0.059043627,2.284146972,1.362864391,0.181010835,0.999925768,-4.791939593
1962,8114787, GNPDA1 ,-0.062576331,2.144833022,-1.362769971,0.181040348,0.999925768,-4.792047667
1963,8062034, TP53INP2 ,0.03699822,2.503547444,1.362466758,0.181135146,0.999925768,-4.792394684
1964,8035234, RN7SL823P ,-0.085439045,2.226572501,-1.36174758,0.181360146,0.999925768,-4.793217482
1965,7895808,,0.180132502,2.73850958,1.361445918,0.181454588,0.999925768,-4.793562492
1966,8048595, GMPPA ,-0.049541837,2.400638557,-1.3613342,0.181489573,0.999925768,-4.793690247
1967,8171786, KLHL34 ,0.047762245,2.366309803,1.361333037,0.181489937,0.999925768,-4.793691577
1968,8090366, UROC1 ,-0.042732599,2.186621511,-1.36121151,0.181528,0.999925768,-4.793830537
1969,7925950, UCN3 ,-0.047332869,2.490299357,-1.361119142,0.181556935,0.999925768,-4.793936148
1970,8013529,,0.210718484,2.151985929,1.361106664,0.181560844,0.999925768,-4.793950415
1971,8164398, GOLGA2 ,0.056729382,2.203610241,1.360959478,0.181606958,0.999925768,-4.794118689
1972,8149555, PSD3 ,-0.050946109,2.262688625,-1.360644046,0.181705815,0.999925768,-4.79447926
1973,7975747, DLST ,-0.06083547,2.261193798,-1.36054758,0.181736056,0.999925768,-4.794589516
1974,8157839,,-0.046666892,2.394574006,-1.360536837,0.181739424,0.999925768,-4.794601794
1975,7892721,,0.045086817,3.229408233,1.360294916,0.181815282,0.999925768,-4.794878265
1976,8157516, TRIM32 ,0.046692259,2.406583172,1.360177611,0.181852073,0.999925768,-4.795012306
1977,8141490, PMS2P1 ,-0.109660477,2.139626668,-1.360164823,0.181856084,0.999925768,-4.795026918
1978,7896231,,-0.090984257,2.657266765,-1.360066493,0.18188693,0.999925768,-4.795139269
1979,7892589,,0.214365279,2.127611106,1.360035831,0.181896549,0.999925768,-4.795174301
1980,7895531,,-0.108527411,2.651701763,-1.360008318,0.18190518,0.999925768,-4.795205735
1981,8156356,,0.063160176,2.110581338,1.359738301,0.181989909,0.999925768,-4.795514205
1982,8172781, SSX7 ,0.09257622,1.984526317,1.359553324,0.182047971,0.999925768,-4.795725492
1983,8060205, PASK ,-0.052760804,2.288006288,-1.359473239,0.182073112,0.999925768,-4.795816959
1984,7895735,,0.205784203,1.798823472,1.359467031,0.182075061,0.999925768,-4.795824049
1985,8025382, CERS4 ,-0.051827949,2.475044147,-1.35942333,0.182088782,0.999925768,-4.79587396
1986,7999093, SRL ,0.063487092,2.223005065,1.359421769,0.182089272,0.999925768,-4.795875742
1987,8015665, PLEKHH3 ,-0.045835153,2.422992912,-1.358898877,0.182253506,0.999925768,-4.796472818
1988,7941111, SNX15 ,-0.042339489,2.402893068,-1.358335261,0.182430659,0.999925768,-4.797116164
1989,8078665, VILL ,-0.04197336,2.450006012,-1.358224549,0.182465473,0.999925768,-4.79724251
1990,7893932,,-0.110774175,2.657178366,-1.358136332,0.182493217,0.999925768,-4.797343177
